[04:38:43] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/main_hand_condition.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/intuitive_replication.js in 0.003 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/intuitive_copy.js in 0.004 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/infinity.js in 0.006 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/in_pocket_condition.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/in__domain_pocket_condition.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/has_abilities_condition.js in 0.003 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/geo_armor_stats.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/geo_armor_reset.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/geo_armor_ability.js in 0.003 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/genetic_test.js in 0.012 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/genetic_stability_debuffs.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/genetic_booster.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/empathic_cost.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/empathic_call.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/death_stam_remove.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_replication.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_ocular.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_intuitive_origin.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_intuitive.js in 0.003 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_genetic_power.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_ability_empathic.js in 0.004 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_ability.js in 0.003 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cryokinetic_armoury.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/catalyst_transfer.js in 0.004 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/burning.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/brain_scan.js in 0.004 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/brain_create.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/base_power_max_con.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/base_power.js in 0.003 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/aoe_damage_proj.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/aoe_damage.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_weight.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_transfer.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_replication.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_removable.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_registry.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_randomizer.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_index.js in 0.004 s
[04:38:46] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_empathic.js in 0.012 s
[04:38:46] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_absorption.js in 0.013 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/workbench.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run_up.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run_down.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_small.js in 0.008 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_move_condition.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_condition.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb.js in 0.006 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/transform.js in 0.007 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/store_armor.js in 0.003 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/stat_ability.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/sounds.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/secondary_uniform.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/screen_shake.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/quick_change_skill.js in 0.009 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/quick_change.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/pyro_surf.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/playlist_cycle.js in 0.003 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_timer.js in 0.011 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_cycle_animation.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_cycle.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/obtain_core_colors.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion_water.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion_dash.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/main_uniform.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/level.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/is_alien.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/infinity.js in 0.006 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/ice_layer.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/hunger_fix.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/goo_layer.js in 0.006 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/glow_crystals.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/glow_color.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/galvan_pod.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/explosion.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/entity_damage.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/draganoid.js in 0.003 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/directional_damage.js in 0.004 s
[04:38:46] [INFO] addonpack_alienevo:kubejs_scripts/diamond_spikes.js#1: Loaded Java class 'net.minecraft.world.level.block.AmethystClusterBlock'
[04:38:46] [INFO] addonpack_alienevo:kubejs_scripts/diamond_spikes.js#2: Loaded Java class 'net.minecraft.world.level.block.state.BlockBehaviour$Properties'
[04:38:46] [INFO] addonpack_alienevo:kubejs_scripts/diamond_spikes.js#3: Loaded Java class 'net.minecraft.world.level.block.SoundType'
[04:38:46] [INFO] addonpack_alienevo:kubejs_scripts/diamond_spikes.js#4: Loaded Java class 'net.minecraft.world.item.BlockItem'
[04:38:46] [INFO] addonpack_alienevo:kubejs_scripts/diamond_spikes.js#5: Loaded Java class 'net.minecraft.world.item.Item$Properties'
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/diamond_spikes.js in 0.082 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/diamond_block.js in 0.003 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/detransform.js in 0.003 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/decouple.js in 0.027 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/damage_effect.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/cycle_sounds.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/core_removal.js in 0.007 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/color_modules.js in 0.011 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/codes.js in 0.009 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/charge_leap.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/blocks.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/behind.js in 0.003 s
[04:38:46] [INFO] addonpack_alienevo:kubejs_scripts/astro_powers.js#1: Loaded Java class 'net.minecraft.world.phys.Vec3'
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/astro_powers.js in 0.013 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/alien_codex.js in 0.002 s
[04:38:46] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/alienevo_color_condition.js in 0.002 s
[04:38:46] [INFO] Loaded script addonpack_afomni:kubejs_scripts/new_ice_block.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_afomni:kubejs_scripts/leap_vax.js in 0.002 s
[04:38:46] [INFO] Loaded script addonpack_afomni:kubejs_scripts/is_mainhand.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_afomni:kubejs_scripts/freezing_effect.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_afomni:kubejs_scripts/chroma_leap.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_afomni:kubejs_scripts/aoe_damage.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/wet.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/werewolf_infection.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/weather_ult.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/weather.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/water_ult.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/wall_climb_move_condition.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/wall_climb_condition.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/wall_climb.js in 0.003 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/vampire_infection.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/unlimited_void.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/tornado.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/telekinesis.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/stone_index.js in 0.004 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/stone_detection_giant.js in 0.001 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/stone_detection.js in 0.0 s
[04:38:46] [INFO] Loaded script addonpack_sgoc:kubejs_scripts/speed_increase.js in 0.001 s
